總    計	"2,191.65"	752	"678,158"	2.78	"1,886,033"	"943,082"	"942,951"	100.01	860.55
新營區	38.5386	29	"28,879"	2.7	"78,101"	"38,611"	"39,490"	97.77	"2,026.57"
鹽水區	52.2455	25	"10,086"	2.57	"25,871"	"13,515"	"12,356"	109.38	495.18
白河區	126.4046	24	"10,836"	2.66	"28,819"	"15,047"	"13,772"	109.26	227.99
柳營區	61.2929	13	"7,873"	2.73	"21,520"	"11,245"	"10,275"	109.44	351.1
後壁區	72.2189	21	"8,881"	2.71	"24,066"	"12,516"	"11,550"	108.36	333.24
東山區	124.9178	16	"8,453"	2.52	"21,320"	"11,310"	"10,010"	112.99	170.67
麻豆區	53.9744	29	"15,716"	2.85	"44,812"	"22,741"	"22,071"	103.04	830.25
下營區	33.5291	15	"9,115"	2.69	"24,508"	"12,639"	"11,869"	106.49	730.95
六甲區	67.5471	12	"7,711"	2.91	"22,406"	"11,577"	"10,829"	106.91	331.71
官田區	70.7953	13	"7,880"	2.73	"21,535"	"10,995"	"10,540"	104.32	304.19
大內區	70.3125	10	"3,895"	2.56	"9,962"	"5,329"	"4,633"	115.02	141.68
佳里區	38.9422	21	"20,546"	2.89	"59,458"	"29,497"	"29,961"	98.45	"1,526.83"
學甲區	53.9919	13	"9,662"	2.73	"26,377"	"13,495"	"12,882"	104.76	488.54
西港區	33.7666	12	"8,155"	3.05	"24,870"	"12,601"	"12,269"	102.71	736.53
七股區	110.1492	23	"8,053"	2.88	"23,172"	"11,981"	"11,191"	107.06	210.37
將軍區	41.9796	18	"7,315"	2.74	"20,051"	"10,210"	"9,841"	103.75	477.64
北門區	44.1003	13	"4,279"	2.65	"11,333"	"5,754"	"5,579"	103.14	256.98
新化區	62.0579	20	"14,354"	3.05	"43,727"	"22,291"	"21,436"	103.99	704.62
善化區	55.3097	21	"17,254"	2.76	"47,660"	"24,016"	"23,644"	101.57	861.69
新市區	47.8096	11	"12,034"	3.01	"36,268"	"18,212"	"18,056"	100.86	758.59
安定區	31.27	16	"9,979"	3.05	"30,447"	"15,634"	"14,813"	105.54	973.68
山上區	27.878	7	"2,690"	2.74	"7,359"	"3,862"	"3,497"	110.44	263.97
玉井區	76.3662	10	"5,134"	2.78	"14,281"	"7,397"	"6,884"	107.45	187.01
楠西區	109.6316	7	"3,533"	2.8	"9,898"	"5,241"	"4,657"	112.54	90.28
南化區	171.5198	9	"2,872"	3.08	"8,838"	"4,779"	"4,059"	117.74	51.53
左鎮區	74.9025	10	"1,982"	2.51	"4,980"	"2,794"	"2,186"	127.81	66.49
仁德區	50.7664	18	"27,270"	2.74	"74,637"	"37,875"	"36,762"	103.03	"1,470.20"
歸仁區	55.7913	21	"22,518"	3.03	"68,170"	"34,658"	"33,512"	103.42	"1,221.88"
關廟區	53.6413	17	"11,064"	3.13	"34,601"	"17,846"	"16,755"	106.51	645.04
龍崎區	64.0814	8	"1,551"	2.65	"4,107"	"2,199"	"1,908"	115.25	64.09
永康區	40.2753	39	"82,867"	2.8	"232,210"	"114,638"	"117,572"	97.5	"5,765.57"
東     區	13.4156	45	"71,835"	2.61	"187,834"	"90,167"	"97,667"	92.32	"14,001.16"
南     區	27.2681	39	"45,345"	2.77	"125,768"	"62,396"	"63,372"	98.46	"4,612.28"
北     區	10.434	43	"50,561"	2.63	"133,091"	"64,838"	"68,253"	95	"12,755.51"
安南區	107.2016	51	"62,086"	3.08	"191,196"	"96,479"	"94,717"	101.86	"1,783.52"
安平區	11.0663	15	"25,179"	2.61	"65,813"	"31,264"	"34,549"	90.49	"5,947.15"
中西區	6.26	38	"30,715"	2.51	"76,967"	"37,433"	"39,807"	94.04	"12,295.05"
