更新日期：2017/05/04
區,系,項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
處,統,檢驗項目,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
別,代,飲用水水質標準,0.8,10.0,500,－－,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
,號,單位,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
一區,'0101,="新山淨水場(Sinshan)基隆市麥金路720號[0162030]{0101}<基隆市>",="0.04",="1.53",="157",="<1",="ND",="0.78",="0.50",="<5",="<1",="42.2",="7.0",="21.7",="22.4",="ND",="ND",="58.5",="0.02",="ND",="<1",="<1",="0.0158",="0.00062",="ND",="ND",="0.00265",="ND",="0.00093",="0.00078",="ND",="ND",="0.0215",="0.00009",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0866",="ND",="Y",
一區,'0101,="員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號[0141019]{0101}<新北市>",="0.04",="0.89",="115",="<1",="0.00045",="0.66",="0.40",="<5",="<1",="37.7",="7.6",="13.9",="17.6",="ND",="ND",="44.9",="0.03",="ND",="<1",="<1",="0.0179",="0.00105",="ND",="ND",="0.00182",="ND",="0.00070",="0.00078",="ND",="ND",="0.0169",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0999",="ND",="Y",
一區,'0104,="坪林淨水場(Pinglin)新北市坪林區坪林里國中路3號[0146023]{0104}<新北市>",="0.03",="0.75",="64.0",="－－",="0.00025",="0.66",="0.45",="<5",="<1",="19.3",="7.5",="8.7",="7.4",="ND",="ND",="24.1",="0.02",="ND",="<1",="<1",="0.00467",="0.00089",="ND",="ND",="0.00184",="ND",="0.00091",="0.00115",="ND",="ND",="0.0167",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0451",="ND",="Y",
一區,'0106,="林莊淨水場(Linjhuang)新北市金山區重合里林口28—2號[0145044]{0106}<新北市>",="0.02",="0.92",="83.7",="－－",="0.00074",="0.47",="0.45",="<5",="<1",="27.5",="7.6",="7.7",="8.0",="ND",="ND",="28.4",="0.07",="ND",="2",="<1",="0.00354",="0.00120",="ND",="ND",="0.00144",="ND",="0.00067",="0.00073",="ND",="ND",="0.00276",="0.00005",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.115",="ND",="Y",
一區,'0112,="烏來淨水場(Wulai)新北市烏來區烏來里烏來街23─6號邊[0146032]{0112}<新北市>",="0.04",="0.77",="67.0",="－－",="－－",="0.56",="0.45",="<5",="<1",="17.8",="7.6",="4.7",="11.2",="ND",="ND",="27.4",="0.06",="ND",="<1",="<1",="0.00125",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="ND",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="－－",="0.0620",="－－",="Y",
一區,'0105,="老梅淨水場(Laomei)新北市石門區老梅里七股33之2號[0144056]{0105}<新北市>",="0.02",="1.22",="92.7",="－－",="0.00057",="0.56",="0.55",="<5",="<1",="24.8",="7.5",="13.5",="4.3",="ND",="ND",="27.8",="0.05",="ND",="<1",="<1",="0.0163",="0.00155",="ND",="ND",="0.00217",="0.00003",="0.00060",="0.00116",="ND",="ND",="0.00329",="0.00002",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.165",="ND",="Y",
一區,'0101,="貢寮淨水場(Gongliau)新北市貢寮區下雙溪街20號[0147011]{0101}<新北市>",="0.03",="0.61",="88.0",="<1",="0.00034",="0.72",="0.35",="<5",="<1",="25.3",="7.1",="16.7",="8.9",="ND",="ND",="30.4",="0.04",="ND",="<1",="<1",="0.0156",="0.00299",="ND",="ND",="0.00273",="0.00003",="0.00069",="0.00145",="ND",="ND",="0.0347",="0.00004",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.102",="ND",="Y",
二區,'0201,="平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號[0262022]{0201}<桃園市>",="0.08",="0.37",="121",="<1",="0.00068",="0.67",="0.40",="<5",="<1",="62.4",="7.6",="3.0",="35.5",="ND",="ND",="96.5",="0.04",="ND",="<1",="<1",="0.00457",="ND",="0.00030",="ND",="0.00136",="ND",="0.00063",="0.00082",="ND",="ND",="0.00746",="0.00022",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.107",="ND",="Y",
二區,'0201,="大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號[0263010]{0201}<桃園市>",="0.08",="0.51",="156",="<1",="0.00051",="0.66",="0.45",="<5",="<1",="75.2",="7.5",="6.7",="35.1",="ND",="ND",="99.4",="0.03",="ND",="<1",="<1",="0.00892",="ND",="0.00024",="ND",="0.00082",="ND",="0.00028",="0.00053",="ND",="ND",="0.00939",="0.00024",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00005",="ND",="ND",="ND",="ND",="ND",="0.118",="ND",="Y",
二區,'0201,="石門淨水場(Shihmen)桃園市平鎮區水廠路150號[0262013]{0201}<桃園市>",="0.07",="0.44",="122",="<1",="0.00067",="0.70",="0.30",="<5",="<1",="69.2",="7.6",="4.2",="34.5",="ND",="ND",="93.8",="0.04",="ND",="<1",="<1",="0.00673",="ND",="0.00020",="ND",="ND",="ND",="ND",="0.00094",="ND",="ND",="0.00657",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0895",="ND",="Y",
二區,'0201,="龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號[0261007]{0201}<桃園市>",="0.09",="0.99",="122",="<1",="0.00094",="0.69",="0.70",="<5",="<1",="72.7",="7.6",="4.5",="32.6",="ND",="ND",="89.9",="0.03",="ND",="<1",="<1",="0.00653",="0.00051",="0.00031",="ND",="0.00072",="ND",="0.00036",="0.00094",="ND",="ND",="0.00896",="0.00019",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.121",="ND",="Y",
二區,'0206,="復興淨水場(Fusing)桃園市復興區中正路280號[0246024]{0206}<桃園市>",="0.08",="0.61",="88.0",="－－",="0.00078",="0.64",="0.85",="<5",="<1",="63.2",="7.7",="4.3",="6.2",="0.02",="ND",="59.8",="0.06",="0.008",="<1",="<1",="0.00879",="ND",="ND",="ND",="0.00126",="ND",="0.00080",="0.00204",="ND",="ND",="0.00662",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0757",="ND",="Y",
三區,'0301,="新竹第一淨水場(Hsinchu First)新竹市博愛街1號[0361017]{0301}<新竹縣市>",="0.14",="1.29",="244",="<1",="0.00033",="0.68",="0.15",="<5",="<1",="117",="7.6",="11.3",="47.9",="0.03",="<0.01",="165",="0.02",="ND",="1",="<1",="0.00604",="ND",="ND",="ND",="ND",="ND",="0.00120",="ND",="ND",="0.00013",="0.0186",="0.00020",="0.04",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.136",="ND",="Y",
三區,'0301,="新竹第二淨水場(Hsinchu Second)新竹市東美路91巷100號[0361044]{0301}<新竹縣市>",="0.13",="0.72",="229",="<1",="0.00029",="0.63",="0.35",="<5",="<1",="108",="8.0",="11.4",="45.6",="0.03",="<0.01",="155",="0.03",="<0.001",="2",="<1",="0.00950",="ND",="ND",="ND",="ND",="ND",="0.00124",="ND",="ND",="0.00018",="0.0178",="0.00022",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.107",="ND",="Y",
