area,population,density, population_change_num ,population_change_percent,man,girl,sexRatio,raiseRatio,zero_fourteen_num,fifteen_sixtyFour_num,sixtyFiveUp_num,zero_fourteen_percent,fifteen_sixtyFour_percent,sixtyFiveUp_percent,zero_five_percent,six_twelve_percent,thirteen_fifteen_percent,sixteen_eighteen_percent,nighteen_thirty_percent,thirtyOne_fifty_percent,fiftyOne_sixtyFour_percent,naturalIncrease_num,naturalIncrease_percent,marry_num,marry_percent,divorce_num,divorce_percent,born_num,death_num,immigration_num,leaving_num,society_num,society_percent
台南市,"1,886,033 ",860.6 ,492 ,0.26 ,"943,082 ","942,951 ",100.0 ,36 ,"236,571 ","1,389,761 ","259,701 ",12.5 ,73.7 ,13.8 ,5.0 ,5.6 ,2.9 ,3.5 ,16.2 ,31.9 ,21.1 ,-536 ,-0.3 ,"11,106 ",0.6 ,"4,084 ",2.2 ,"14,698 ","15,234 ","68,842 ","67,814 ","1,028 ",0.5 
新營區,"78,101 ",2026.6 ,-64 ,-0.82 ,"38,611 ","39,490 ",97.8 ,39 ,"10,333 ","56,315 ","11,453 ",13.2 ,72.1 ,14.7 ,4.6 ,6.2 ,3.5 ,3.8 ,16.9 ,29.3 ,20.9 ,-121 ,-1.5 ,437 ,0.6 ,145 ,1.9 ,563 ,684 ,"2,592 ","2,535 ",57 ,0.7 
鹽水區,"25,871 ",495.2 ,-214 ,-8.24 ,"13,515 ","12,356 ",109.4 ,41 ,"2,727 ","18,295 ","4,849 ",10.5 ,70.7 ,18.7 ,3.9 ,4.7 ,2.8 ,3.2 ,15.8 ,28.6 ,22.2 ,-155 ,-6.0 ,133 ,0.5 ,41 ,1.6 ,145 ,300 ,764 ,823 ,-59 ,-2.3 
白河區,"28,819 ",228.0 ,-452 ,-15.56 ,"15,047 ","13,772 ",109.3 ,48 ,"2,617 ","19,509 ","6,693 ",9.1 ,67.7 ,23.2 ,3.3 ,4.1 ,2.7 ,3.1 ,14.3 ,26.5 ,22.8 ,-296 ,-10.2 ,147 ,0.5 ,80 ,2.8 ,149 ,445 ,688 ,844 ,-156 ,-5.4 
柳營區,"21,520 ",351.1 ,-109 ,-5.05 ,"11,245 ","10,275 ",109.4 ,39 ,"1,910 ","15,438 ","4,172 ",8.9 ,71.7 ,19.4 ,3.7 ,3.7 ,2.4 ,3.5 ,16.6 ,27.9 ,22.8 ,-130 ,-6.0 ,115 ,0.5 ,41 ,1.9 ,143 ,273 ,708 ,687 ,21 ,1.0 
後壁區,"24,066 ",333.2 ,-263 ,-10.87 ,"12,516 ","11,550 ",108.4 ,48 ,"2,120 ","16,232 ","5,714 ",8.8 ,67.4 ,23.7 ,3.6 ,3.7 ,2.4 ,3.0 ,14.3 ,26.2 ,23.1 ,-208 ,-8.6 ,109 ,0.5 ,50 ,2.1 ,139 ,347 ,688 ,743 ,-55 ,-2.3 
東山區,"21,320 ",170.7 ,-283 ,-13.19 ,"11,310 ","10,010 ",113.0 ,46 ,"1,914 ","14,593 ","4,813 ",9.0 ,68.4 ,22.6 ,3.4 ,3.9 ,2.7 ,3.1 ,14.1 ,27.0 ,23.3 ,-170 ,-7.9 ,98 ,0.5 ,49 ,2.3 ,123 ,293 ,500 ,613 ,-113 ,-5.3 
麻豆區,"44,812 ",830.2 ,-175 ,-3.90 ,"22,741 ","22,071 ",103.0 ,41 ,"5,261 ","31,757 ","7,794 ",11.7 ,70.9 ,17.4 ,4.5 ,5.3 ,2.9 ,3.4 ,15.4 ,29.2 ,21.9 ,-102 ,-2.3 ,240 ,0.5 ,88 ,2.0 ,310 ,412 ,"1,090 ","1,163 ",-73 ,-1.6 
下營區,"24,508 ",730.9 ,-278 ,-11.28 ,"12,639 ","11,869 ",106.5 ,43 ,"2,503 ","17,170 ","4,835 ",10.2 ,70.1 ,19.7 ,4.1 ,4.5 ,2.5 ,3.0 ,15.4 ,28.0 ,22.8 ,-133 ,-5.4 ,106 ,0.4 ,45 ,1.8 ,169 ,302 ,502 ,647 ,-145 ,-5.9 
六甲區,"22,406 ",331.7 ,-180 ,-8.00 ,"11,577 ","10,829 ",106.9 ,39 ,"2,502 ","16,069 ","3,835 ",11.2 ,71.7 ,17.1 ,4.2 ,5.1 ,3.0 ,3.7 ,16.4 ,28.4 ,22.2 ,-87 ,-3.9 ,132 ,0.6 ,39 ,1.7 ,137 ,224 ,550 ,643 ,-93 ,-4.1 
