年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,,CO91,10506CO000685,2016,6,4,18,33,臺南市,安南區,,,海佃路,一,,,,,國安街,,,,,,,,,,,,,0,1,0,8,2,5,50,3,1,1,5,4,5,7,1,1,3,5,5,2,16,6,C000,CO00,1,2,120.1914,20.02468
10506,10506C00020298,CUX1,10506CU001424,2016,6,1,16,30,臺南市,東山區,東正里,,東勢街,,,,1934-05-01T00:00:00,,,,,台南市東山區東正里34之5號前,,,,,,,,,,0,1,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,2,8,21,C000,CU00,1,2,120.40907,21.32368
10506,10506C00020300,CM91,10506CM002463,2016,6,3,17,20,臺南市,東區,,,林森路,二,,,,,小東路,,,,,,,,,,,,,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,9,C000,CM00,1,2,120.22447,22.0007
10506,10506C00020479,CM91,10506CM002849,2016,6,29,9,40,臺南市,東區,,,中華東路,,,,,,,,,崇明,,,,,,,,,,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,1,5,5,2,18,42,C000,CM00,1,2,120.46846,22.05185
10506,10506C00020469,CM91,10506CM002533,2016,6,23,19,0,臺南市,東區,,,東光路,,,,,,,,,凱旋路,,,,,,,,,,0,2,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,42,C000,CM00,1,2,120.16815,22.1681
10506,10506C00020288,CZW1,10506CZ001702,2016,6,14,10,30,臺南市,仁德區,,,,,,,,,,,,中正路三段5號前,,,,,,,,,,0,2,0,8,1,5,40,14,9,1,5,4,5,7,4,4,8,5,5,1,16,23,C000,CZ00,1,2,120.35487,22.38857
10506,10506C00020223,CM91,10506CM001523,2016,6,17,15,45,臺南市,東區,,,小東路,,,,,,,,,忠勇街,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,18,42,C000,CM00,1,2,120.51114,22.45613
10506,10506C00020461,CM91,10506CM002525,2016,6,16,8,0,臺南市,東區,,,慶東街,,,,135,,,,,,,,,,,,,,,0,1,0,6,1,5,50,14,8,1,4,4,5,7,4,4,9,4,5,1,16,6,C000,CM00,1,2,120.46513,22.52165
10506,10506C00020476,CM91,10506CM002880,2016,6,27,21,25,臺南市,東區,,,崇善路,,25,,,,,,,,,,,,,,,,,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CM00,1,2,120.48615,22.56412
10506,,CM91,10506CM001256,2016,6,1,10,10,臺南市,東區,,,裕農路,,,,348-2,,,,,,,,,,,,,,,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,16,6,C000,CM00,1,2,120.12746,22.65407
10506,10506C00020191,CM91,10506CM001364,2016,6,7,12,40,臺南市,東區,,,林森路,一,,,,,,,,監理站前,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,4,7,4,4,1,4,5,2,18,42,C000,CM00,1,2,120.15102,22.84156
10506,,CM91,10506CM001270,2016,6,13,11,0,臺南市,東區,,,德東街,,,,,,,,,長東街,,,,,,,,,,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,17,42,C000,CM00,1,2,120.51217,22.89415
10506,10506C00020393,CZ91,10506CZ001250,2016,6,12,12,45,臺南市,歸仁區,,,長榮路,一,,,321,,,,,,,,,,,,,,,0,2,0,6,1,5,50,14,13,1,4,4,5,7,4,4,9,4,4,1,19,42,C000,CZ00,1,2,120.27236,22.91004
10506,10506C00020264,CZ91,10506CZ001833,2016,6,6,10,0,臺南市,歸仁區,,,大潭一街,,,,65,,,,,,,,,,,,,,,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,16,23,C000,CZ00,1,2,120.27149,22.91108
10506,,CZ91,10506CZ002327,2016,6,23,8,14,臺南市,仁德區,中洲里,,,,,,,,,,,中洲高幹41電桿前,,,,,,,,,,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CZ00,1,2,120.25235,22.9162
