年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,GPS座標X,GPS座標
2016,7,1,9,45,臺南市,新化區,,,,,,,,,,,,,臺39線,1,700,南,外側,,,,,120.28892,23.01992
2016,7,1,14,9,臺南市,山上區,豐德里,,,,,,,,,,,千鳥橋東側100公尺處,臺20線,19,100,西,路緣,,,,,120.35962,23.07391
2016,7,1,11,58,臺南市,新化區,護國里,,和平街,,,,,,,,,與和平街3巷,,,,,,,,,,120.30799,23.033
2016,7,2,8,45,臺南市,新化區,東榮里,,信義路,,,,157-3,,,,,,,,,,,,,,,120.31025,23.03557
2016,7,2,17,55,臺南市,新化區,太平里,,忠孝路,,,,,,,,,阿全飯麵店前,臺20線,12,0,西,外側一般,,,,,120.3049,23.03807
2016,7,3,14,52,臺南市,新化區,太平里,,中正路,,580,,2之1,,,,,,,,,,,,,,,120.30631,23.04138
2016,7,4,7,20,臺南市,新化區,豐榮里,,大智路,,,,300,,,,,,,,,,,,,,,120.29094,23.02792
2016,7,3,17,54,臺南市,新化區,豐榮里,,中山路,,,,,,,,,,臺20線,10,600,西,外側一般,,,,,120.29191,23.03521
2016,7,4,7,20,臺南市,新化區,護國里,,,,,,,,,,,台19甲線與中興路(台19甲線38.4K)南往北,,,,,,,,,,120.34202,23.15062
2016,7,4,20,25,臺南市,新化區,東榮里,,中興路,,,,722,,,,,,,,,,,,,,,120.30986,23.03514
2016,7,2,17,25,臺南市,新化區,北勢里,,中正路,,,,1083,,,,,之3(台19甲線33.8K)對面南往北,,,,,,,,,,120.29744,23.05356
2016,7,4,23,16,臺南市,山上區,豐德里,,,,,,,,,,,178線27K(南往北),,,,,,,,,,120.34202,23.15062
2016,7,6,19,50,臺南市,新化區,竹林里,,,,,,,,,,,忠孝路97號前,臺20線,11,900,東,內側,,,,,120.30467,23.038
2016,7,7,17,50,臺南市,新化區,太平里,,中正路,,,,,,正新北路,,,,,,,,,,,,,120.30483,23.04266
2016,7,9,21,15,臺南市,新化區,東榮里,,中正路,,,,384,,,,,,,,,,,,,,,120.30617,23.03559
2016,7,10,13,20,臺南市,新化區,中央里,,,,,,,,,,,中山路與中正路口,,,,,,,,,,120.30794,23.03595
2016,7,4,15,30,臺南市,新化區,全興里,,,,,,竹子腳170,,,,,,180線,9,800,北,路外水溝,,,,,120.29175,23.02626
2016,7,13,7,50,臺南市,新化區,,,中山路,,898,,,,,,,,臺20線,10,200,西,外側,,,,,120.29028,23.03499
2016,7,13,14,10,臺南市,新化區,知義里,,,,,,,,,,,台19甲線復興路(台19甲線39.1K南側分隔島),,,,,,,,,,120.34202,23.15013
2016,7,13,17,14,臺南市,新化區,崙頂里,,,,,,,,,,,崙子頂343號之1前(180線9.1K),,,,,,,,,,120.28534,23.0212
2016,7,14,17,14,臺南市,新化區,東榮里,,信義路,,,,31,,,,,道路與台19甲線37.5K,,,,,,,,,,120.34202,23.15062
2016,7,14,18,25,臺南市,新化區,,,中正路,,,,,,金崋街1段,,南,,,,,,,,,,,120.29727,23.05859
2016,7,17,13,13,臺南市,新化區,豐榮里,,大智路,,,,17,,,,,,180線,10,300,北,路肩,,,,,120.30111,23.03595
2016,7,21,7,40,臺南市,新化區,協興里,,,,,,,,,,,中山路858巷,臺20線,10,600,西,外側,,,,,120.29228,23.03521
2016,7,21,17,35,臺南市,山上區,新莊里,,,,,,,,,,,,南175線,0,400,東,中線,,,,,120.35485,23.0972
2016,7,21,19,43,臺南市,新化區,太平里,,,,,,,,,,,忠孝路與民生路口,臺20線,12,400,西,外側,,,,,120.30958,23.0386
2016,7,22,21,55,臺南市,新化區,中央里,,信義路,,,,,,正新路,,,,,,,,,,,,,120.34202,23.15062
2016,7,25,8,10,臺南市,左鎮區,中正里,,,,,,,,,,,左鎮清潔隊東側,,,,,,,,,,120.40569,23.06041
2016,7,26,7,45,臺南市,新化區,豐榮里,,大智路,,,,41,,,,,180線11.3K(南往北),,,,,,,,,,120.29844,23.03514
2016,7,26,7,55,臺南市,新化區,北勢里,,,,,,,,,,,電桿編號北勢高幹26旁產業道路,,,,,,,,,,120.2862,23.05303
2016,7,26,21,34,臺南市,新化區,全興里,,,,,,,,,,,,臺39線,0,500,北,機慢,,,,,120.2894,23.02959
2016,7,23,1,0,臺南市,新化區,護國里,,,,,,,,,,,忠孝路2號前,臺20線,12,500,西,外側,,,,,120.31024,23.03881
2016,7,26,17,43,臺南市,新化區,,,,,,,,,,,,台20線與國道8號交流道口,臺20線,16,100,西,外側,,,,,120.33167,23.06144
2016,7,27,12,45,臺南市,新化區,唪口里,,,,,,,,,,,中正路707巷16號旁,,,,,,,,,,120.30191,23.0426
2016,7,27,18,15,臺南市,新化區,護國里,,,,,,,,,,,信義路與護安街口,,,,,,,,,,120.30941,23.03518
2016,7,28,9,30,臺南市,新化區,協興里,,,,,,,,,,,大新路1號前【圓環外環道上】,,,,,,,,,,120.29979,23.03688
2016,7,28,19,30,臺南市,新化區,太平里,,,,,,,,,,,中正路582號前,,,,,,,,,,120.30576,23.04146
2016,7,30,7,53,臺南市,新化區,東榮里,,中正路,,,,,,中山路,,,,,,,,,,,,,120.30811,23.03594
2016,7,30,13,55,臺南市,新化區,協興里,,中山路,,,,,,,,,開運橋上,臺20線,10,100,西,外側一般,,,,,120.28796,23.03461
2016,7,31,9,49,臺南市,新化區,,,,,,,,,,,,那菝林那菝里(南177線4.3K)北往南,,,,,,,,,,120.34202,23.15062
2016,7,1,7,20,臺南市,永康區,鹽洲里,,防汛道路,,,,,,,,,(路燈鹽州里299),,,,,,,,,,120.23928,23.05152
2016,7,1,7,40,臺南市,永康區,,,,,,,,,,,,永大路一段與大灣東路,,,,,,,,,,120.25827,22.99791
2016,7,1,10,50,臺南市,永康區,勝利里,,中華路,,,,,,中華一路,,,,,,,,,,,,,120.23533,23.00425
2016,7,1,7,40,臺南市,永康區,東橋里,,東橋七路,,,,,,東橋二街,,,,,,,,,,,,,120.23817,23.01916
2016,7,1,12,13,臺南市,永康區,,,,,,,,,,,,復興路一巷30弄電桿朝陽枝150前,,,,,,,,,,120.24959,22.99447
2016,7,2,5,50,臺南市,永康區,勝利里,,勝學路,,58,,,,,,,,,,,,,,,,,120.2282,23.00184
2016,7,2,6,0,臺南市,永康區,,,永大一路,,,,255,,,,,,,,,,,,,,,120.25509,23.01652
2016,7,2,9,20,臺南市,永康區,復華里,,復國一路,,67,,,,復國一路,,,,,,,,,,,,,120.24649,23.01072
2016,7,2,9,29,臺南市,永康區,,,,,,,,,,,,國光二街與國光二街70巷,,,,,,,,,,120.2574,23.0023
2016,7,2,14,15,臺南市,永康區,二王里,,中山南路,,,,,,忠孝路,,,,,,,,,,,,,120.24398,23.02015
2016,7,2,17,0,臺南市,永康區,,,中山南路,,1116,,,,,,,永中街口,,,,,,,,,,120.25747,23.0253
2016,7,1,19,20,臺南市,永康區,勝利里,,中華一路,,,,178,,,,,,,,,,,,,,,120.23603,23.0043
2016,7,1,19,5,臺南市,永康區,崑山里,,大灣路,,,,,,,,,與崑大路口,,,,,,,,,,120.25116,22.9986
2016,7,1,0,10,臺南市,永康區,,,,,,,,,,,,中華陸橋,,,,,,,,,,120.22419,23.01972
2016,7,1,0,40,臺南市,永康區,,,,,,,,,,,,網寮橋上,,,,,,,,,,120.25053,22.99854
2016,7,3,18,30,臺南市,永康區,永康里,,中山南路,,1116,,16,,,,,,,,,,,,,,,120.25739,23.02514
2016,7,2,14,33,臺南市,永康區,,,,,,,,,,,,國一高速公路南下便道與復國二路178巷,,,,,,,,,,120.24855,23.01026
2016,7,2,17,14,臺南市,永康區,,,,,,,,,,,,崑大路與大灣路口,,,,,,,,,,120.25181,22.99159
2016,7,3,21,30,臺南市,永康區,,,,,,,,,,,,正興街42號,,,,,,,,,,120.22303,23.01972
2016,7,3,22,52,臺南市,永康區,西灣里,,永大路,二,,,,,公園路,,,,,,,,,,,,,120.26369,23.014
2016,7,4,8,45,臺南市,永康區,鹽洲里,,鹽行路,,,,,,鹽洲一街,,,,,,,,,,,,,120.23536,23.04184
2016,7,4,11,0,臺南市,永康區,鹽行里,,中正南路,,,,380,,,,,,,,,,,,,,,120.22922,23.03375
2016,7,1,10,39,臺南市,永康區,,,中華路,,,,,,,,,永康橋 北上第二支電線桿旁,,,,,,,,,,120.39201,23.0.23207
2016,7,4,8,5,臺南市,永康區,,,自強路,,,,1250,,,,,,,,,,,,,,,120.27057,23.04229
2016,7,4,8,50,臺南市,永康區,,,中正南路,,,,,,鹽忠街,,,,,,,,,,,,,120.23493,23.03954
2016,7,4,17,10,臺南市,永康區,鹽行里,,中正南路,,,,,,鹽和街,,,,,,,,,,,,,120.23254,23.03737
2016,7,4,21,10,臺南市,永康區,,,,,,,,,,,,南台街與南台街154巷,,,,,,,,,,120.21946,23.02302
2016,7,3,23,25,臺南市,永康區,北灣里,,,,,,,,,,,大灣路與大同街口,,,,,,,,,,120.26895,23.00925
2016,7,5,9,5,臺南市,永康區,,,八德街,,230,,,,八德街,,,,,,,,,,,,,120.25646,23.03703
2016,7,5,9,8,臺南市,永康區,,,,,,,,,,,,高速公路便道往南1467號路燈,,,,,,,,,,120.24807,23.00459
2016,7,2,8,25,臺南市,永康區,龍潭里,,國民路,,,,,,,,,與永平街231巷口,,,,,,,,,,120.26484,23.02276
2016,7,5,9,55,臺南市,永康區,龍潭里,,中山北路,,,,370,,,,,,,,,,,,,,,120.26666,23.02909
2016,7,5,12,10,臺南市,永康區,永康里,,中山南路,,,,635之1,,,,,,,,,,,,,,,120.25561,23.02556
2016,7,4,14,30,臺南市,永康區,,,忠勇街,,65,,,,忠勇街,,,,,,,,,,,,,120.23804,23.00151
2016,7,4,16,24,臺南市,永康區,,,中正北路,,317,,,,,,,與永安路12巷口,,,,,,,,,,120.3952,23.33029
2016,7,4,17,57,臺南市,永康區,,,中華路,,,,,,南台街,,,,,,,,,,,,,120.21931,23.02277
2016,7,4,17,55,臺南市,永康區,甲頂里,,中華路,,893,,,,正新街,,,,,,,,,,,,,120.22386,23.01916
2016,7,4,8,45,臺南市,永康區,大橋里,,東橋一路,,,,,,,,,大橋國中前,,,,,,,,,,120.23118,23.02183
2016,7,5,10,20,臺南市,永康區,,,中山北路,,,,,,永埔街,,,,,,,,,,,,,120.26083,23.02747
2016,7,5,17,44,臺南市,永康區,永康里,,中山南路,,,,641,,,,,,,,,,,,,,,120.25659,23.02589
2016,7,6,8,42,臺南市,永康區,大橋里,,大橋二街,,,,,,,,,與東橋ㄧ路口,,,,,,,,,,120.23143,23.02147
2016,7,5,17,15,臺南市,永康區,,,中華路,,,,,,南台街,,,,,,,,,,,,,120.22048,23.02285
2016,7,6,8,10,臺南市,永康區,,,六合路,,68,,,,,,,,,,,,,,,,,120.23102,23.00914
2016,7,6,12,15,臺南市,永康區,,,民族路,,181,,,,,,,,,,,,,,,,,120.26782,23.00419
2016,7,6,12,57,臺南市,永康區,東橋里,,自強路,,,,,,,,,與自強路140巷口,,,,,,,,,,120.24854,23.02614
2016,7,6,15,30,臺南市,永康區,,,中山北路,,,,815,,,,,,,,,,,,,,,120.28118,23.03044
2016,7,6,16,45,臺南市,永康區,永康里,,中山北路,,,,,,,,,與永明街口,,,,,,,,,,120.25866,23.02627
2016,7,6,19,0,臺南市,永康區,東灣里,,永大路,一,,,,,崑大路,,,,,,,,,,,,,120.25817,22.99775
2016,7,6,1,40,臺南市,永康區,,,,,,,,,,,,中華陸橋(北往南),,,,,,,,,,120.22387,23.01993
2016,7,6,20,35,臺南市,永康區,,,永和街,,238,22,23,,,,,,,,,,,,,,,120.25401,23.01926
2016,7,5,6,37,臺南市,永康區,,,,,,,,,,,,自強路665號,,,,,,,,,,120.26147,23.03563
2016,7,7,10,45,臺南市,永康區,正強里,,中山南路,,,,,,正強街,,,,,,,,,,,,,120.25269,23.02377
2016,7,7,7,25,臺南市,永康區,五王里,,中山東路,,218,,,,,,,,,,,,,,,,,120.23701,23.01136
2016,7,7,11,31,臺南市,永康區,,,,,,,,,,,,中華路207號,,,,,,,,,,120.23505,23.01288
2016,7,7,16,35,臺南市,永康區,中華里,,小東路,,591,,,,,,,,,,,,,,,,,120.23745,22.99985
2016,7,7,21,30,臺南市,永康區,,,永大路,二,,,41,,,,,,,,,,,,,,,120.25868,23.00104
2016,7,4,21,25,臺南市,永康區,崑山里,,大灣路,,,,721之1,,,,,,,,,,,,,,,120.2578,22.99994
2016,7,2,12,0,臺南市,永康區,,,中正二街,,,,620,,,,,,,,,,,,,,,120.24293,23.03472
2016,7,8,12,40,臺南市,永康區,鹽行里,,中正南路,,,,326,,,,,,,,,,,,,,,120.22734,23.03181
2016,7,8,15,42,臺南市,永康區,,,,,,,,,,,,鹽行路6號,,,,,,,,,,120.23642,23.04194
2016,7,4,13,30,臺南市,永康區,崑山里,,崑山街,,,,,,,,,崑山街5巷口,,,,,,,,,,120.25787,23.00048
2016,7,2,10,5,臺南市,永康區,大橋里,,中山南路,,262,,,,,,,,,,,,,,,,,120.23418,23.01452
2016,7,9,13,0,臺南市,永康區,復華里,,復華七街,,106,,,,,,,,,,,,,,,,,120.24733,23.01522
2016,7,9,10,30,臺南市,永康區,蔦松里,,中正北路,,,,,,,,,中正北路521巷口,,,,,,,,,,120.2568,23.04245
2016,7,9,11,0,臺南市,永康區,,,自強路,,,,,,埔東街,,,,,,,,,,,,,120.25661,23.03182
2016,7,8,15,35,臺南市,永康區,蔦松里,,蔦松二街,,,,12,,,,,,,,,,,,,,,120.25277,23.03904
2016,7,2,16,40,臺南市,永康區,,,中正路,,,,,,,,,與自強路口,,,,,,,,,,120.25427,23.03026
2016,7,9,23,18,臺南市,永康區,,,永大路,二,,,,,,,,與永大二路口,,,,,,,,,,120.26238,23.01911
2016,7,10,1,21,臺南市,永康區,,,,,,,,,,,,中正南路與正南三路,,,,,,,,,,120.23049,23.03523
2016,7,10,1,20,臺南市,永康區,永康里,,永大路,二,,,,,西勢路,,,,,,,,,,,,,120.26207,23.02006
2016,7,3,11,30,臺南市,永康區,勝利里,,中華路,,,,,,華興街,,,,,,,,,,,,,120.27673,23.05796
2016,7,10,14,50,臺南市,永康區,,,永大一路,,,,,,永興路,,,,,,,,,,,,,120.25939,23.01751
2016,7,10,20,50,臺南市,永康區,西勢里,,西勢路,,,,,,廣盛街,,,,,,,,,,,,,120.27879,23.02075
2016,7,10,21,4,臺南市,永康區,,,,,,,,,,,,崑山街136巷與國光三街,,,,,,,,,,120.25892,23.00385
2016,7,11,8,25,臺南市,永康區,,,華興街,,,,,,小東路,,,685巷口,,,,,,,,,,120.24313,23.99906
2016,7,11,10,10,臺南市,永康區,,,中華路,,,,,,南台街,,,,,,,,,,,,,120.21638,23.02229
2016,7,11,7,38,臺南市,永康區,,,自強路,,,,825,,,,,,,,,,,,,,,120.26424,23.03757
2016,7,11,8,59,臺南市,永康區,,,復興路,,,,,,,,,高速公路涵洞下,,,,,,,,,,120.24799,22.99857
2016,7,4,15,0,臺南市,永康區,二王里,,永二街,,,,334,,,,,,,,,,,,,,,120.24864,23.01899
2016,7,4,8,5,臺南市,永康區,勝利里,,中華路,,92,,,,中華路,,,,,,,,,,,,,120.23517,23.00238
2016,7,1,18,25,臺南市,永康區,,,小東路,,,,563,,,,,,,,,,,,,,,120.3029,23.55269
2016,7,10,15,30,臺南市,永康區,鹽行里,,中正南路,,,,232,,,,,,,,,,,,,,,120.2212,23.02612
2016,7,12,7,40,臺南市,永康區,,,復國一路,,,,149,,,,,,,,,,,,,,,120.24614,23.00593
2016,7,12,8,0,臺南市,永康區,,,中山北路,,,,78,,,,,,,,,,,,,,,120.25967,23.02259
2016,7,12,10,30,臺南市,永康區,,,中正北路,,,,78,,,,,,,,,,,,,,,120.2415,23.04153
2016,7,4,8,0,臺南市,永康區,甲頂里,,中華路,,,,,,,,,永康陸橋上,,,,,,,,,,120.22301,20514
2016,7,10,14,40,臺南市,永康區,復國里,,復國一路,,,,50,,,,,,,,,,,,,,,120.24596,23.00304
2016,7,11,18,35,臺南市,永康區,大灣里,,大同街,,,,,,,,,大同街98巷口,,,,,,,,,,120.26956,23.00938
2016,7,12,17,45,臺南市,永康區,,,永大路,二,,,,,大灣五街,,,,,,,,,,,,,120.26214,23.00797
2016,7,13,8,19,臺南市,永康區,二王里,,中山南路,,319,,,,中山南路,,,,,,,,,,,,,120.23793,23.01687
2016,7,13,7,50,臺南市,永康區,崑山里,,大灣路,,942,,59,,,,,,,,,,,,,,,120.25502,23.00071
2016,7,13,17,20,臺南市,永康區,正強里,,正強街,,,,45,,,,,,,,,,,,,,,120.25223,23.02502
2016,7,13,18,40,臺南市,永康區,,,中正南路,,743,,,,,,,鹽忠街30號後方,,,,,,,,,,120.23459,23.0403
2016,7,13,21,45,臺南市,永康區,,,中山東路,,,,,,南工街,,,,,,,,,,,,,120.23659,23.01274
2016,7,13,20,25,臺南市,永康區,,,中山北路,,,,818,,,,,,,,,,,,,,,120.28001,23.03166
2016,7,13,19,33,臺南市,永康區,西橋里,,中山南路,,,,3,,,,,,,,,,,,,,,120.22636,23.01141
2016,7,13,21,32,臺南市,永康區,南灣里,,南興路,,,,19,,,,,,,,,,,,,,,120.26053,22.99538
2016,7,12,7,15,臺南市,永康區,勝利里,,中華路,,,,145,,,,,,,,,,,,,,,120.23512,23.00325
2016,7,12,15,25,臺南市,永康區,成功里,,中華一路,,39,,,,,,,與忠孝路207巷口,,,,,,,,,,120.23782,23.00375
2016,7,12,8,30,臺南市,永康區,崑山里,,永大路,一,,,69,,,,,,,,,,,,,,,120.25742,22.99534
2016,7,11,15,25,臺南市,永康區,龍潭里,,永平街,,,,,,,,,與永明街口,,,,,,,,,,120.26477,23.02464
2016,7,11,7,40,臺南市,永康區,西勢里,,富強路,一,,,,,,,,與富強路一段276巷口,,,,,,,,,,120.27493,23.01857
2016,7,11,8,45,臺南市,永康區,鹽行里,,中正路,,,,,,,,,與中正三街口,,,,,,,,,,120.24274,23.03636
2016,7,14,7,40,臺南市,永康區,,,中山南路,,,,152之4,,,,,,,,,,,,,,,120.23077,23.01327
2016,7,14,8,36,臺南市,永康區,埔園里,,龍埔街,,486,,,,龍埔街,,,,,,,,,,,,,120.25619,23.03499
2016,7,14,7,49,臺南市,永康區,,,,,,,,,,,,大灣路與大同街,,,,,,,,,,120.26907,23.00623
2016,7,14,8,10,臺南市,永康區,甲頂里,,中華路,,,,,,南台街,,,,,,,,,,,,,120.21924,23.02308
2016,7,1,7,50,臺南市,永康區,光復里,,復興路,,,,282,,,,,,,,,,,,,,,(120.24278,22.99853
2016,7,14,15,30,臺南市,永康區,復華里,,國華街,,102,,,,復國二路,,,243巷口,,,,,,,,,,120.24809,23.01496
2016,7,6,16,18,臺南市,永康區,二王里,,永二街,,323,,,,,,,,,,,,,,,,,120.24917,23.01814
2016,7,13,19,15,臺南市,永康區,崑山里,,崑山街,,,,,,國光三街,,,,,,,,,,,,,120.25893,23.00387
2016,7,11,19,58,臺南市,永康區,鹽行里,,仁愛街,,108,71,,,,,,仁愛街108巷,,,,,,,,,,120.24074,23.0447
2016,7,15,13,15,臺南市,永康區,龍潭里,,中山北路,,264,191,,,中山北路,,,344巷口,,,,,,,,,,120.26946,23.02665
2016,7,19,12,44,臺南市,永康區,復國里,,復國二路,,342,,,,復國二路,,,,,,,,,,,,,120.24651,23.00591
2016,7,11,20,5,臺南市,永康區,,,立興街,,,,136,,,,,,,,,,,,,,,120.26056,23.00189
2016,7,14,9,30,臺南市,永康區,二王里,,忠孝路,,410,,13,,,,,,,,,,,,,,,120.24414,23.01846
2016,7,14,17,10,臺南市,永康區,永康里,,永大路,二,1310,,,,,,,,,,,,,,,,,120.26144,23.02199
2016,7,14,8,45,臺南市,永康區,,,,,,,,,,,,中華路與華興街,,,,,,,,,,120.235,23.00071
2016,7,14,15,58,臺南市,永康區,,,,,,,,,,,,中山北路815號,,,,,,,,,,120.27989,23.03185
2016,7,7,14,50,臺南市,永康區,西灣里,,大灣路,,942,,443,,,,,,,,,,,,,,,120.25776,23.00797
2016,7,8,18,35,臺南市,永康區,鹽洲里,,,,,,,,,,,三村一街138巷與仁愛街66巷口,,,,,,,,,,120.23969,23.0441
2016,7,15,18,0,臺南市,永康區,,,南台街,,,,63,,,,,,,,,,,,,,,120.22206,23.02253
2016,7,15,19,52,臺南市,永康區,,,,,,,,,,,,永平街469巷1號,,,,,,,,,,120.26057,23.02125
2016,7,17,0,50,臺南市,永康區,西勢里,,富強路,一,,,,,,,,,,,,,,,,,,120.2753,23.01944
2016,7,16,19,10,臺南市,永康區,,,,,,,,,,,,中華路230號,,,,,,,,,,120.23552,23.00556
2016,7,17,2,30,臺南市,永康區,西灣里,,公園路,,151,,,,公園路,,,,,,,,,,,,,120.25944,23.01313
2016,7,1,8,30,臺南市,永康區,,,自強路,,,,,,,,,與龍中街口,,,,,,,,,,120.2621,23.03603
2016,7,11,5,27,臺南市,永康區,,,復興路,,,,,,,,,與高速公路北上便道,,,,,,,,,,120.24832,22.99856
2016,7,11,18,39,臺南市,永康區,,,永大路,三,,,302,,,,,,,,,,,,,,,120.25991,23.03207
2016,7,12,7,45,臺南市,永康區,王行里,,自強路,,,,,,,,,電桿興工高幹34,,,,,,,,,,120.2658,23.03986
2016,7,17,7,5,臺南市,永康區,,,中山南路,,,,13,,,,,,,,,,,,,,,120.22653,23.01149
2016,7,16,16,20,臺南市,永康區,,,中山南路,,,,637,,,,,,,,,,,,,,,120.25599,23.02568
2016,7,12,6,50,臺南市,永康區,鹽行里,,中正北路,,,,30,,,,,,,,,,,,,,,120.23624,23.04117
2016,7,17,7,54,臺南市,永康區,,,中正路,,,,342,,,,,,,,,,,,,,,120.24844,23.03207
2016,7,12,15,14,臺南市,永康區,鹽洲里,,洲工街,,145,,,,防汛道路,,,,,,,,,,,,,120.22418,23.03757
2016,7,17,9,43,臺南市,永康區,鹽洲里,,中正南路,,,,,,,,,與鹽忠街口,,,,,,,,,,120.23498,23.03951
2016,7,14,22,45,臺南市,永康區,甲頂里,,中央路,,,,,,,,,與小北路口,,,,,,,,,,120.21623,23.02215
2016,7,17,14,5,臺南市,永康區,,,永大路,二,,,1296,,,,,,,,,,,,,,,120.26157,23.02161
2016,7,15,8,52,臺南市,永康區,勝利里,,中華路,,155,,,往西40,,,,,,,,,,,,,,1203.23509,23.00357
2016,7,15,17,2,臺南市,永康區,復華里,,中山東路,,,,,,,,,南工街323巷口,,,,,,,,,,120.23659,23.01317
2016,7,16,14,30,臺南市,永康區,鹽行里,,中正南路,,,,356,,,,,,,,,,,,,,,120.22794,23.03236
2016,7,15,13,30,臺南市,永康區,六合里,,中華路,,459,,,,,,,六合路48巷口,,,,,,,,,,120.23208,23.00985
2016,7,17,19,0,臺南市,永康區,中興里,,中山東路,,,,303,,,,,,,,,,,,,,,120.23797,23.0077
2016,7,16,7,15,臺南市,永康區,永康里,,中山南路,,,,1032,,,,,,,,,,,,,,,120.2553,23.02532
2016,7,17,21,0,臺南市,永康區,甲頂里,,中華路,,,,,,中央路,,,,,,,,,,,,,120.21577,23.02369
2016,7,15,16,37,臺南市,永康區,北灣里,,大灣路,,,,105,,,,,,,,,,,,,,,120.26973,23.01019
2016,7,17,16,30,臺南市,永康區,崑山里,,大灣路,,1102,,,,,,,,,,,,,,,,,120.24848,23.00073
2016,7,18,8,8,臺南市,永康區,尚頂里,,中正南路,,,,311,,,,,,,,,,,,,,,120.2218,23.027
2016,7,18,7,49,臺南市,永康區,,,王行路,,,,,,環工路,,,,,,,,,,,,,120.27705,23.04852
