年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,GPS座標X,GPS座標
2016,8,1,9,30,臺南市,安平區,,,安平路,,,,744,,,,,,,,,,,120.16298,22.99993
2016,8,1,22,58,臺南市,安平區,,,府平路,,,,,,平豐路,,,,,,,,,120.16435,22.98727
2016,8,1,8,49,臺南市,佳里區,建南里,,,,,,,,,,,仁愛路與光復路口,,,,,,120.17513,23.15541
2016,8,1,15,30,臺南市,西港區,竹林里,,,,,,,,,,,南34線公路6公里處與南43線公路路口,南34線,6,0,西,路口,120.18407,23.12656
2016,8,1,18,35,臺南市,安平區,,,中華西路,,,,,,永華路,,,,,,,,,120.18683,22.98916
2016,8,1,5,45,臺南市,中西區,,,武聖路,,197,,,,,,,與151巷90弄口,,,,,,120.18712,23.006
2016,8,1,13,5,臺南市,中西區,,,民生路,,,,,,臨安路,,,,,,,,,120.18929,22.9975
2016,8,1,17,40,臺南市,北區,,,中華北路,一,,,500,,,,,,,,,,,120.1908,23.01687
2016,8,1,19,50,臺南市,安南區,,,安吉路,,,,,,,,,與台江大道,,,,,,120.1913,23.06028
2016,8,1,17,30,臺南市,中西區,,,臨安路,,,,,,民族路,,,,,,,,,120.19186,23.00011
2016,8,1,20,50,臺南市,中西區,,,金華路,,,,,,尊王路,,,旁,,,,,,120.19304,22.99248
2016,8,1,7,45,臺南市,中西區,,,健康路,一,,,342,,,,,,,,,,,120.19862,22.98162
2016,8,1,12,45,臺南市,中西區,,,西門路,二,,,175,,,,,,,,,,,120.19888,22.99377
2016,8,1,16,32,臺南市,中西區,,,民生路,一,,,173,,,,,,,,,,,120.20017,22.99413
2016,8,1,10,20,臺南市,中西區,,,西門路,,,,,,成功路,,,,,,,,,120.20127,22.99964
2016,8,1,20,55,臺南市,北區,,,臨安路,二,,,267,,,,,,,,,,,120.20146,23.00446
2016,8,1,7,50,臺南市,西港區,慶安里,,,,,,,,,,,新興街8之110號旁路口,,,,,,120.20199,23.11778
2016,8,1,18,28,臺南市,中西區,,,中正路,,,,,,忠義路,,,,,,,,,120.20271,22.99198
2016,8,1,10,0,臺南市,北區,,,西門路,三,45,,,,,,,,,,,,,120.20273,23.00178
2016,8,1,11,33,臺南市,南區,,,南門路,,,,,,健康路,,,,,,,,,120.20365,22.98137
2016,8,1,10,0,臺南市,北區,,,公園南路,,,,,,西華街,,,,,,,,,120.21087,23.00048
2016,8,1,13,0,臺南市,北區,,,公園路,,,,,,長榮路,五,,口,,,,,,120.21205,23.01348
2016,8,1,19,40,臺南市,北區,,,東豐路,,,,,,前鋒路,,,,,,,,,120.21492,23.00367
2016,8,1,9,10,臺南市,東區,,,青年路,,,,362,,,,,,,,,,,120.21507,22.99133
2016,8,1,14,12,臺南市,東區,,,中華東路,二,133,57,,,,,,,,,,,,120.21507,22.99133
2016,8,1,20,20,臺南市,北區,,,公園路,,1074,20,,,,,,,,,,,,120.21657,23.01845
2016,8,1,20,25,臺南市,東區,,,林森路,一,,,,,,,,監理站大門對面,,,,,,120.21788,22.98286
2016,8,1,12,40,臺南市,北區,,,勝利路,,190,,,,,,,,,,,,,120.21875,23.00385
2016,8,1,21,15,臺南市,東區,,,東寧路,,,,168,,,,,,,,,,,120.22402,22.99119
2016,8,1,13,0,臺南市,東區,,,林森路,,,,,,小東路,,,,,,,,,120.22452,23.00047
2016,8,1,16,25,臺南市,東區,,,崇德路,,,,,,崇德四街,,,,,,,,,120.22478,22.99847
2016,8,1,8,58,臺南市,東區,,,光華街,,229,,,,樹林街,一,,,,,,,,120.22478,22.99847
2016,8,1,11,10,臺南市,東區,,,崇善路,,,,,,崇德十七街,,,,,,,,,120.23086,22.96948
2016,8,1,9,35,臺南市,北區,,,小東路,,423,,,,,,,口,,,,,,120.23299,22.99868
2016,8,1,17,45,臺南市,東區,,,小東路,,,,,,,,,停車格位編號第330號前,,,,,,120.23486,22.99834
2016,8,1,7,20,臺南市,永康區,鹽洲里,,,,,,,,,,,中正南路799巷與中正南路743巷2弄口,,,,,,120.23554,23.04049
2016,8,1,8,44,臺南市,永康區,鹽行里,,新中街,,,,,,正南五街,,,旁,,,,,,120.23855,23.03524
2016,8,1,14,0,臺南市,麻豆區,,,,,,,,,,,,新生北路與 中山路口,,,,,,120.24106,23.18518
2016,8,1,17,20,臺南市,永康區,蔦松里,,中正北路,,,,327,,,,,,,,,,,120.24799,23.04192
2016,8,1,14,49,臺南市,麻豆區,保安里,,興國路,,,,3,,,,,,,,,,,120.24848,23.18366
2016,8,1,6,54,臺南市,永康區,建國里,,復興路,,33,,,,,,,,,,,,,120.24966,22.99852
