序號,縣市,地下水分區,測站,Township,TWD97Lon,TWD97Lat,SiteAddress,採樣日期,水溫 Water Temperature (℃),酸鹼值 pH,導電度 Conductivity (μmho/cm25℃),總溶解固體物 Total Dissolved Solid (mg/L),總有機碳 Total Organic Carbon (mg/L),氨氮 NH3-N (mg/L),硝酸鹽氮 Nitrate-Nitrogen (mg/L),總硬度 Total Hardness (mg/L as CaCO3),硫酸鹽 Sulfate (mg/L),氯鹽 Chloride (mg/L),溶氧(電極法) Dissolved Oxygen (mg/L),溶氧飽和度 Dissolved Oxygen Saturation (%),總鹼度 Alkalinity (mg/L as CaCO3),氟鹽 Fluoride (mg/L),鐵 Iron (mg/L),錳 Manganese (mg/L),鋅 Zinc (mg/L),銅 Copper (mg/L),鎳 Nickel (mg/L),鉻 Chromium (mg/L),鉛 Lead (mg/L),砷 Arsenic (mg/L),鎘 Cadmium (mg/L),汞 Mercury (mg/L),鈣 Calcium (mg/L),鎂 Magnesium (mg/L),鈉 Sodium (mg/L),鉀 Potassium (mg/L)
1,臺南市,嘉南平原,文賢國小,仁德區,120.234855,22.922185,台南市仁德區文賢路一段886號,2016/10/26,29,7.5,1830,1190,6.02,0.37,0.11,42.2,9.6,103,3.7,-,831,4.43,1.14,0.03,0.012,0.003,<0.01,0.003,<0.003,0.0342,<0.001,<0.0003,7.08,5.37,452,20.3
2,臺南市,嘉南平原,公園國小,北區,120.208908,23.000706,台南市北區西華里公園路180號,2016/10/03,29.1,6.8,386,249,1.08,<0.01,0.31,165,11.8,14.2,1.6,-,167,0.12,0.096,0.057,0.005,<0.001,<0.01,<0.001,<0.003,0.0036,<0.001,<0.0003,53,7.29,13.3,7.81
3,臺南市,嘉南平原,大橋國小,永康區,120.226487,23.02123,台南市永康區大橋三街173號,2016/10/03,28.7,6.6,769,498,1.81,0.08,1.72,363,33.1,28.5,1.2,-,363,0.37,0.016,0.887,0.005,<0.001,<0.01,<0.001,<0.003,0.0003,<0.001,<0.0003,100,28.4,32.1,1.86
4,臺南市,嘉南平原,海東國小,安南區,120.17354,23.047447,台南市安南區安中路三段381號,2016/10/25,30.1,7.6,1910,1050,2.77,2.15,0.01,307,48.2,409,3.5,-,291,0.32,0.099,0.296,<0.002,<0.001,<0.01,<0.001,<0.003,0.0345,<0.001,<0.0003,77.6,27.2,274,23.3
5,臺南市,嘉南平原,建功國小(台南市),七股區,120.099222,23.094265,台南市七股區十份里74之1號,2016/10/03,28.5,7,36700,27000,2.27,3.06,<0.01,4500,1940,13100,2.4,-,501,0.58,2.14,1.67,<0.002,<0.001,<0.01,<0.001,<0.003,0.0218,<0.001,<0.0003,309,779,6920,270
6,臺南市,嘉南平原,學東國小(原為南興國小學東分校),安南區,120.145736,23.078104,台南市安南區公學號六段589號,2016/10/25,31.4,6.9,1460,874,2.01,2.42,<0.01,485,107,151,3.4,-,462,0.2,0.231,0.931,<0.002,<0.001,<0.01,<0.001,0.004,0.0106,<0.001,<0.0003,116,49.2,139,13.7
7,臺南市,嘉南平原,南興國小分校,安定區,120.218842,23.080622,台南市安定區六嘉里30號,2016/10/25,29.2,7.1,1640,920,1.77,2.62,<0.01,449,161,236,1.6,-,350,0.21,1.64,1.05,<0.002,<0.001,<0.01,<0.001,<0.003,0.0211,<0.001,<0.0003,94.7,49.7,167,19.9
8,臺南市,嘉南平原,七股國小,七股區,120.138461,23.140001,台南市七股區大埕里395號,2016/10/03,28.5,7.2,31000,21800,3.08,1.89,0.01,3190,1760,10000,2.4,-,573,0.51,0.951,0.62,<0.002,<0.001,<0.01,<0.001,<0.003,0.0265,<0.001,<0.0003,204,619,6000,227
9,臺南市,嘉南平原,北門高中(原為北門中學),佳里區,120.174637,23.168428,台南市佳里區六安里269號,2016/10/27,29.6,7.1,840,563,2.07,<0.01,12.2,417,40.3,10.8,1.2,-,370,0.26,0.01,0.084,<0.002,<0.001,<0.01,<0.001,<0.003,<0.0003,<0.001,<0.0003,120,33.1,16.8,18.3
10,臺南市,嘉南平原,麻豆國小,麻豆區,120.254284,23.186161,台南市麻豆區東角里文昌路18號,2016/10/21,28.7,7,1110,656,1.77,0.12,0.01,403,52.4,33.1,3,-,530,0.33,0.014,0.085,<0.002,<0.001,<0.01,<0.001,<0.003,0.0006,<0.001,<0.0003,90.3,44.8,99.2,0.82
